Date,SST
2017-07-14,14
2017-07-14,14.61
2017-07-14,13.39
2017-07-14,11.89
2017-07-14,9.89
2017-07-14,9.89
2017-07-15,10
2017-07-15,10
2017-07-15,10
2017-07-15,10.78
2017-07-15,12.5
2017-07-15,11.89
2017-07-15,12.22
2017-07-15,12.72
2017-07-15,12.72
2017-07-15,12.5
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-15,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-16,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,  
2017-07-17,10.28
2017-07-17,10.28
2017-07-17,10.78
2017-07-17,12
2017-07-17,14
2017-07-17,13.78
2017-07-17,13.28
2017-07-17,11.22
2017-07-18,10.11
2017-07-18,9.5
2017-07-18,9.28
2017-07-18,9.28
2017-07-18,9.39
2017-07-18,9.89
2017-07-18,11.89
2017-07-18,11.11
2017-07-18,11.5
2017-07-18,13.28
2017-07-18,14
2017-07-18,14.28
2017-07-18,14.22
2017-07-18,12.5
2017-07-18,10
2017-07-18,9.11
2017-07-18,9.22
2017-07-18,9.39
2017-07-18,9.89
2017-07-18,10.28
2017-07-18,11.11
2017-07-18,11.89
2017-07-18,12.89
2017-07-18,13.28
2017-07-19,10.5
2017-07-19,9.72
2017-07-19,9.28
2017-07-19,9.11
2017-07-19,9.11
2017-07-19,9.22
2017-07-19,10.28
2017-07-19,11.61
2017-07-19,10.89
2017-07-19,11.28
2017-07-19,13.11
2017-07-19,14.61
2017-07-19,14.5
2017-07-19,14.5
2017-07-19,12.28
2017-07-19,10.11
2017-07-19,9.89
2017-07-19,9.78
2017-07-19,9.78
2017-07-19,9.89
2017-07-19,10.11
2017-07-19,10.5
2017-07-19,11.11
2017-07-19,12.89
2017-07-20,12.78
2017-07-20,11.11
2017-07-20,10.78
2017-07-20,  
2017-07-20,10.22
2017-07-20,10.22
2017-07-20,10.28
2017-07-20,11.61
2017-07-20,11.61
2017-07-20,11.39
2017-07-20,11.78
2017-07-20,12.61
2017-07-20,14.78
2017-07-20,14.78
2017-07-20,13.5
2017-07-20,13
2017-07-20,11.39
2017-07-20,11.39
2017-07-20,11.28
2017-07-20,11.39
2017-07-20,11.39
2017-07-20,12
2017-07-20,12.22
2017-07-20,12.89
2017-07-21,13.5
2017-07-21,13.5
2017-07-21,12.72
2017-07-21,11.89
2017-07-21,11.5
2017-07-21,11.5
2017-07-21,11.39
2017-07-21,11.39
2017-07-21,12.61
2017-07-21,12.22
2017-07-21,12.11
2017-07-21,12.28
2017-07-21,12.5
2017-07-21,15.11
2017-07-21,15.22
2017-07-21,14.89
2017-07-21,13.22
2017-07-21,11.78
2017-07-21,11.78
2017-07-21,12
2017-07-21,12
2017-07-21,12.11
2017-07-21,13.72
2017-07-21,13
2017-07-22,13.28
2017-07-22,14.11
2017-07-22,13.78
2017-07-22,13.39
2017-07-22,13.11
2017-07-22,13.11
2017-07-22,13
2017-07-22,13.11
2017-07-22,13.5
2017-07-22,13.89
2017-07-22,13.78
2017-07-22,13.5
2017-07-22,13.61
2017-07-22,14
2017-07-22,16
2017-07-22,16
2017-07-22,15
2017-07-22,13
2017-07-22,12.61
2017-07-22,12.61
2017-07-22,12.72
2017-07-22,12.72
2017-07-22,13.5
2017-07-22,15
2017-07-23,15
2017-07-23,14.72
2017-07-23,15
2017-07-23,14.78
2017-07-23,14.39
2017-07-23,12.39
2017-07-23,12.11
2017-07-23,11.78
2017-07-23,11.72
2017-07-23,11.72
2017-07-23,12.22
2017-07-23,12.39
2017-07-23,12.61
2017-07-23,13
2017-07-23,13.78
2017-07-23,16.72
2017-07-23,16.78
2017-07-23,14.78
2017-07-23,11.11
2017-07-23,10.11
2017-07-23,9.78
2017-07-23,9.72
2017-07-23,9.89
2017-07-23,11.5
2017-07-24,12.39
2017-07-24,11.61
2017-07-24,12.11
2017-07-24,12.5
2017-07-24,13
2017-07-24,12
2017-07-24,10.39
2017-07-24,9.72
2017-07-24,9.39
2017-07-24,9.39
2017-07-24,10.11
2017-07-24,10.11
2017-07-24,10.22
2017-07-24,10.39
2017-07-24,10.89
2017-07-24,11.39
2017-07-24,15.61
2017-07-24,16
2017-07-24,13.22
2017-07-24,9.72
2017-07-24,9.11
2017-07-24,8.89
2017-07-24,8.89
2017-07-24,9.28
2017-07-25,11.5
2017-07-25,11.61
2017-07-25,10.89
2017-07-25,11.11
2017-07-25,11.61
2017-07-25,11.61
2017-07-25,10.78
2017-07-25,9.61
2017-07-25,9.22
2017-07-25,9
