alkalinity,tco2,pco2,co2,pHt,salinity,temp,year
1986.93,1852.9,357.64,16.54,8.044,28.868,9.485,2017
1978.21,1840.34,344.98,15.95,8.056,28.847,9.499,2017
1986.15,1844.13,336.05,15.55,8.068,28.799,9.478,2017
1973.15,1843.12,360.41,16.75,8.039,28.622,9.375,2017
1980.56,1854.42,363.49,17.13,8.038,28.1095,9.0425,2017
2077.37,1919.86,337.04,15.45,8.081,30.0535,9.5405,2017
2083.03,1924.32,341.13,15.52,8.077,30.369,9.712,2017
2098.81,1940.91,350.42,15.87,8.069,30.49,9.834,2017
2109.48,1952.61,356.92,16.15,8.064,30.591,9.835,2017
2079.37,1937.08,379.88,17.33,8.035,30.359,9.627,2017
2054.78,1923.15,388.6,18.09,8.022,29.824,9.125,2017
2041.2,1912.71,390.74,18.25,8.018,29.672,9.0505,2017
2021.77,1903.02,405.64,19.17,8,29.301,8.764,2017
2024.13,1907.97,414.87,19.6,7.992,29.296,8.778,2017
2002.88,1895.64,431.03,20.56,7.973,29.0775,8.523,2017
1984.9,1866.14,372.57,18.19,8.027,28.4915,7.949,2017
2053.03,1919.41,379.07,17.79,8.031,29.8995,8.8715,2017
2061.65,1919.85,370.62,17.02,8.041,30.055,9.486,2017
2051.4,1911.39,375.59,17.12,8.035,30.008,9.723,2017
2051.44,1909.66,371.53,16.9,8.039,29.971,9.788,2017
2044.66,1906.68,383.38,17.31,8.026,29.967,10.014,2017
1993.19,1867.66,393.53,17.91,8.008,29.184,9.903,2017
1949.39,1828.34,389.39,17.74,8.004,28.725,9.962,2017
1931.71,1810.25,375.37,17.17,8.017,28.032,9.9495,2017
1912.96,1787.72,355.97,16.38,8.033,28.048,9.768,2017
1924.01,1797.22,354.67,16.34,8.037,28.066,9.735,2017
1925.26,1799.49,357.9,16.48,8.034,28.051,9.744,2017
1896.9,1781.81,366.24,17.22,8.02,27.409,9.231,2017
1910.98,1801.5,381.44,18.15,8.008,27.262,8.9065,2017
2028.46,1902.5,400.72,18.46,8.006,29.605,9.476,2017
2017.3,1895.53,410.21,18.89,7.995,29.5935,9.489,2017
2051.31,1925.03,417.57,19,7.993,30.171,9.739,2017
2057.93,1932.02,420.54,19.15,7.992,30.184,9.7115,2017
2048.34,1930.08,437.58,20.06,7.974,30.041,9.536,2017
1982.14,1877.38,438.58,20.68,7.962,29.0005,8.882,2017
1975.09,1872,435.41,20.71,7.964,28.7445,8.6645,2017
1902.95,1813.28,444.01,21.51,7.944,27.806,8.29,2017
1873.82,1789.86,449.48,21.95,7.933,27.4405,8.1145,2017
1909.65,1821.14,448.91,21.82,7.941,27.792,8.191,2017
1974.87,1872.44,430.28,20.74,7.969,28.691,8.292,2017
2015.1,1899.61,422.56,19.69,7.983,29.4665,9.154,2017
2017.23,1893.78,407.64,18.68,7.997,29.623,9.632,2017
2021.05,1895.93,405.74,18.53,8,29.696,9.707,2017
2015.88,1890.06,404.92,18.4,8,29.741,9.856,2017
2013.75,1888.45,404.84,18.4,8,29.626,9.868,2017
1999.23,1878.36,410.51,18.71,7.992,29.338,9.84,2017
1966.79,1853.13,414.17,19.06,7.983,28.798,9.648,2017
1876.88,1775.87,410.13,19.16,7.972,27.5625,9.407,2017
1889.29,1782.15,386.34,18.27,7.998,27.432,9.0665,2017
1878.95,1771.03,376.55,17.93,8.006,27.328,8.884,2017
1880.93,1771.25,370.47,17.68,8.012,27.311,8.821,2017
1879.43,1776.15,385.22,18.54,7.997,27.131,8.6,2017
1878.67,1766.53,344.95,17.03,8.04,26.9875,7.8765,2017
2043.91,1911.08,390.16,17.91,8.018,30.039,9.505,2017
2070.12,1933.4,392.92,17.9,8.02,30.32,9.6775,2017
2073.72,1937.71,399.46,18.1,8.014,30.405,9.828,2017
2084.63,1949.46,406.41,18.39,8.009,30.452,9.8595,2017
2078.53,1950.75,422.59,19.26,7.993,30.366,9.665,2017
2036.7,1920.29,431.41,20.06,7.978,29.93,9.138,2017
2018.02,1906.68,436.94,20.4,7.97,29.5305,9.079,2017
2003.46,1899.79,450.35,21.3,7.955,29.286,8.74,2017
1967.27,1871.13,456.55,21.82,7.944,28.802,8.517,2017
1971.62,1873.06,447.48,21.44,7.952,28.803,8.4455,2017
1953.77,1854.16,421.29,20.65,7.973,28.281,7.866,2017
1974.51,1867.03,409.53,19.86,7.988,28.6925,8.113,2017
2046.31,1919.45,412.94,18.81,7.997,30.0765,9.7285,2017
2053.3,1924.92,415.49,18.79,7.996,30.236,9.918,2017
2064.45,1935.97,417.99,18.92,7.995,30.199,9.892,2017
2041.11,1913.88,412.28,18.71,7.996,30.104,9.836,2017
2033.92,1909.86,415.55,18.98,7.992,29.979,9.667,2017
1989.39,1874.66,413.56,19.31,7.987,29.222,9.129,2017
1927.5,1826.97,423.14,20.06,7.969,27.822,8.919,2017
1885.49,1789.81,416.58,20.05,7.966,27.5315,8.527,2017
1867.02,1775.01,417.1,20.24,7.963,27.1705,8.3555,2017
1865.56,1775.68,424.31,20.6,7.955,27.174,8.336,2017
1863.47,1780.37,444.64,21.81,7.936,27.1385,8.041,2017
1868.16,1777.71,408.44,20.38,7.97,27.117,7.544,2017
2013.39,1895.83,418.48,19.41,7.986,29.577,9.275,2017
2009.55,1896.18,433.48,20.04,7.971,29.6545,9.353,2017
2038.22,1918.61,429.17,19.66,7.98,29.917,9.582,2017
2046.65,1923.34,422.08,19.29,7.988,30.015,9.641,2017
2047.14,1925.39,423.25,19.47,7.987,29.943,9.461,2017
2022.08,1905.6,422.34,19.71,7.984,29.67,9.076,2017
1976.9,1870.06,418.66,20.08,7.98,28.779,8.413,2017
1965.37,1860.49,415.44,20.11,7.98,28.593,8.176,2017
1924.33,1826.88,416.33,20.41,7.973,27.893,7.929,2017
1910.61,1811.6,405.51,19.91,7.98,27.884,7.885,2017
1919.07,1820.01,407.07,19.97,7.981,27.7,7.94,2017
1913.32,1801.92,359.68,17.81,8.029,27.5305,7.694,2017
2035.72,1896.32,367.94,16.87,8.04,29.7755,9.578,2017
2078.51,1934.71,390.12,17.33,8.024,30.563,10.404,2017
2066.67,1931,410.68,18.2,8.002,30.538,10.482,2017
2075.99,1936.77,406.95,17.96,8.007,30.7605,10.561,2017
2066.88,1933.95,421.72,18.57,7.993,30.444,10.691,2017
2005.38,1881.95,418.74,18.64,7.986,29.6025,10.506,2017
1933.45,1818.86,405.84,18.36,7.986,28.412,10.227,2017
1899.6,1787.79,392.64,18.01,7.993,27.874,9.898,2017
1902.6,1790.24,389.01,17.93,7.998,27.8295,9.753,2017
1889.73,1782.33,398.3,18.39,7.986,27.562,9.751,2017
1851.61,1758.34,427.02,19.86,7.953,26.8785,9.66,2017
1858.95,1760.55,396.49,18.93,7.983,26.7755,8.896,2017
1865.92,1762.22,382.63,18.26,7.998,27.008,8.868,2017
2018.31,1893.25,408.81,18.57,7.996,29.824,9.849,2017
2034.59,1903.01,396.29,17.96,8.011,29.9145,9.909,2017
2030.2,1901.02,398.96,18.14,8.008,29.726,9.844,2017
2023.76,1896.89,403.52,18.36,8.002,29.732,9.817,2017
1987.48,1875.57,428.92,19.77,7.973,29.173,9.527,2017
1970.31,1864.11,433.5,20.2,7.966,28.704,9.283,2017
1944.74,1845.74,443.64,20.82,7.953,28.259,9.1485,2017
1940.5,1842.73,446.69,20.97,7.949,28.253,9.146,2017
1899.03,1809.58,458.62,21.66,7.931,27.928,9.016,2017
1917.04,1821.23,440.95,20.78,7.95,27.893,9.09,2017
1908.34,1794.46,369.61,17.55,8.019,27.473,8.944,2017
1915.37,1801.36,374.95,17.68,8.015,27.543,9.128,2017
2025.53,1879.69,352.45,15.92,8.056,29.406,10.089,2017
2018.34,1871.21,349.85,15.74,8.057,29.529,10.2015,2017
2016.85,1867.33,344.27,15.47,8.063,29.571,10.226,2017
