Date,Temp,Salinity,pH
2020-04-27,10.9264,27.7092825,7.870535286
2020-04-27,10.9345,27.7112398,7.893119219
2020-04-27,10.9376,27.7131971,7.89150781
2020-04-27,10.9463,27.7151544,7.889973057
2020-04-27,10.8715,27.7171118,7.862988668
2020-04-27,10.7903,27.7190691,7.840378628
2020-04-27,10.6534,27.7210264,7.813647561
2020-04-27,10.5262,27.7229837,7.801814525
2020-04-27,10.457,27.7249411,7.759952112
2020-04-27,10.4002,27.7268984,7.748961429
2020-04-27,10.3382,27.7288557,7.728493662
2020-04-27,10.3032,27.7308131,7.720080087
2020-04-27,10.2813,27.7327704,7.713078902
2020-04-27,10.25,27.7347277,7.706849895
2020-04-27,10.2529,27.736685,7.705061803
2020-04-27,10.2382,27.7386424,7.702224549
2020-04-27,10.2813,27.7405997,7.698196606
2020-04-27,10.5512,27.742557,7.844700937
2020-04-27,10.6627,27.7445143,7.832177193
2020-04-27,10.9626,27.7464717,7.932519487
2020-04-27,11.1089,27.748429,7.952166859
2020-04-27,11.1633,27.7503863,7.898058959
2020-04-27,11.0926,27.7523436,7.848945805
2020-04-27,11.0615,27.754301,7.852980293
2020-04-27,11.059,27.7562583,7.872518668
2020-04-27,11.0448,27.7582156,7.86962074
2020-04-27,11.0616,27.7601729,7.880539944
2020-04-27,11.0195,27.7621303,7.868708637
2020-04-27,10.9911,27.7640876,7.8763778
2020-04-27,10.9368,27.7660449,7.85093832
2020-04-27,10.8789,27.7680023,7.83625875
2020-04-27,10.8213,27.7699596,7.82849007
2020-04-27,10.7602,27.7719169,7.819118127
2020-04-27,10.6825,27.7738742,7.800838764
2020-04-27,10.62,27.7758316,7.798473333
2020-04-27,10.5803,27.7777889,7.804071373
2020-04-27,10.5566,27.7797462,7.80050299
2020-04-27,10.5148,27.7817035,7.785239246
2020-04-27,10.4644,27.7836609,7.768228802
2020-04-27,10.4088,27.7856182,7.746843264
2020-04-27,10.345,27.7875755,7.733014481
2020-04-27,10.2887,27.7895328,7.71734785
2020-04-27,10.2239,27.7914902,7.721696279
2020-04-27,10.173,27.7934475,7.720280919
2020-04-28,10.1553,27.7954048,7.772170183
2020-04-28,10.1558,27.7973622,7.768654195
2020-04-28,10.134,27.7993195,7.766543801
2020-04-28,10.124,27.8012768,7.761150118
2020-04-28,10.1184,27.8032341,7.772932987
2020-04-28,10.1223,27.8051915,7.775292146
2020-04-28,10.1133,27.8071488,7.767322127
2020-04-28,10.0996,27.8091061,7.77408021
2020-04-28,10.0786,27.8110634,7.783079474
2020-04-28,10.0551,27.8130208,7.805498409
2020-04-28,10.0439,27.8149781,7.794195771
2020-04-28,10.0242,27.8169354,7.809693225
2020-04-28,9.997,27.8188927,7.792249055
2020-04-28,9.9868,27.8208501,7.77736914
2020-04-28,9.9639,27.8228074,7.788713629
2020-04-28,9.9584,27.8247647,7.785210607
2020-04-28,9.9442,27.8267221,7.785179753
2020-04-28,9.9601,27.8286794,7.771986488
2020-04-28,9.9698,27.8306367,7.770365144
2020-04-28,9.9356,27.832594,7.777528701
2020-04-28,9.8917,27.8345514,7.778886708
2020-04-28,9.8549,27.8365087,7.773375592
2020-04-28,9.7948,27.838466,7.800544038
2020-04-28,9.7148,27.8404233,7.788727465
2020-04-28,9.5041,27.8423807,7.708195143
2020-04-28,9.3914,27.844338,7.714779522
2020-04-28,9.4393,27.8462953,7.708211369
2020-04-28,9.3635,27.8482526,7.694240788
2020-04-28,9.2896,27.85021,7.714245751
2020-04-28,9.2146,27.8521673,7.710448673
2020-04-28,9.1974,27.8541246,7.700263453
2020-04-28,9.172,27.856082,7.707918572
2020-04-28,9.1625,27.8580393,7.711940175
2020-04-28,9.203,27.8599966,7.735959048
2020-04-28,9.2546,27.8619539,7.736201737
2020-04-28,9.3365,27.8639113,7.741222186
2020-04-28,9.4085,27.8658686,7.73731972
2020-04-28,9.4086,27.8678259,7.758217988
2020-04-28,9.4834,27.8697832,7.840487052
2020-04-28,9.6219,27.8717406,7.845071268
2020-04-28,9.7832,27.8736979,7.841691555
2020-04-28,9.9239,27.8756552,7.850917134
2020-04-28,10.3026,27.8776125,7.927860764
2020-04-28,10.5403,27.8795699,7.975379226
2020-04-28,10.7417,27.8815272,7.972472335
2020-04-28,11.0068,27.8834845,8.0088643
2020-04-28,11.0884,27.8854418,7.974955388
2020-04-28,11.1996,27.8873992,7.97654723
2020-04-28,11.3347,27.8893565,7.987252485
2020-04-28,11.4409,27.8913138,7.982979384
2020-04-28,11.5179,27.8932712,7.982585807
2020-04-28,11.5571,27.8952285,7.971613498
2020-04-28,11.5935,27.8971858,7.965323589
2020-04-28,11.6511,27.8991431,7.971314607
2020-04-28,11.7361,27.9011005,7.990562323
2020-04-28,11.834,27.9030578,7.992517725
2020-04-28,11.9348,27.9050151,8.014491565
2020-04-28,11.9767,27.9069724,8.00474331
2020-04-28,11.998,27.9089298,7.99932359
2020-04-28,12.0198,27.9108871,8.009449186
2020-04-28,12.0214,27.9128444,8.013007894
2020-04-28,12.0406,27.9148017,8.013434362
2020-04-28,11.9991,27.9167591,7.993580362
2020-04-28,12.0046,27.9187164,8.006924323
2020-04-28,12.0913,27.9206737,8.035861975
2020-04-28,12.1663,27.9226311,8.049700981
2020-04-28,12.1831,27.9245884,8.04876619
2020-04-28,12.1825,27.9265457,8.045238444
2020-04-28,12.1969,27.928503,8.047555397
2020-04-28,12.1957,27.9304604,8.04218255
2020-04-28,12.1154,27.9324177,8.022479568
2020-04-28,12.0492,27.934375,8.005200477
2020-04-28,12.0073,27.9363323,8.002513131
2020-04-28,11.9615,27.9382897,7.993343999
2020-04-28,11.9097,27.940247,7.982618676
2020-04-28,11.907,27.9422043,7.991671983
2020-04-28,11.8856,27.9441616,7.980907045
2020-04-28,11.8705,27.946119,7.983342063
2020-04-28,11.9543,27.9480763,7.988269714
2020-04-28,11.9593,27.9500336,7.985290264
2020-04-28,11.9262,27.951991,7.980538227
2020-04-28,11.9064,27.9539483,7.973461771
2020-04-28,11.884,27.9559056,7.967290016
2020-04-28,11.8283,27.9578629,7.953821372
2020-04-28,11.7606,27.9598203,7.92814531
2020-04-28,11.6912,27.9617776,7.922369259
2020-04-28,11.6212,27.9637349,7.910528674
2020-04-28,11.5147,27.9656922,7.880015863
2020-04-28,11.4226,27.9676496,7.872290565
2020-04-28,11.3577,27.9696069,7.864459428
2020-04-28,11.3069,27.9715642,7.858968038
2020-04-28,11.2669,27.9735215,7.857019003
2020-04-28,11.2471,27.9754789,7.8591668
2020-04-28,11.2192,27.9774362,7.857074475
2020-04-28,11.2164,27.9793935,7.877776072
2020-04-28,11.2024,27.9813508,7.860148708
2020-04-29,11.205,27.9833082,7.86916267
2020-04-29,11.214,27.9852655,7.873172491
2020-04-29,11.1998,27.9872228,7.871711863
2020-04-29,11.1972,27.9891802,7.878498668
2020-04-29,11.1714,27.9911375,7.861593507
2020-04-29,11.1694,27.9930948,7.863178381
2020-04-29,11.1546,27.9950521,7.862222161
2020-04-29,11.1235,27.9970095,7.855815137
2020-04-29,11.1038,27.9989668,7.856809781
2020-04-29,11.0926,28.0009241,7.858690032
2020-04-29,11.0671,28.0028814,7.85407834
2020-04-29,11.019,28.0048388,7.840344977
2020-04-29,10.9685,28.0067961,7.82871722
2020-04-29,10.9283,28.0087534,7.829016501
2020-04-29,10.8778,28.0107107,7.823930167
2020-04-29,10.8705,28.0126681,7.832673781
2020-04-29,11.0053,28.0146254,7.875445601
2020-04-29,11.0611,28.0165827,7.882205808
2020-04-29,11.07,28.0185401,7.868025811
2020-04-29,11.071,28.0204974,7.863325341
2020-04-29,11.07,28.0224547,7.861207756
2020-04-29,11.0207,28.024412,7.851856192
2020-04-29,10.9795,28.0263694,7.839828177
2020-04-29,10.9215,28.0283267,7.823021264
2020-04-29,10.8778,28.030284,7.818420148
2020-04-29,10.8402,28.0322413,7.810818244
2020-04-29,10.8071,28.0341987,7.806077346
2020-04-29,10.7705,28.036156,7.802735106
2020-04-29,10.7397,28.0381133,7.799432024
2020-04-29,10.717,28.0400706,7.801159409
2020-04-29,10.7069,28.042028,7.802775122
2020-04-29,10.7617,28.0439853,7.834566315
2020-04-29,10.7754,28.0459426,7.832533072
