time,chlorophyll
20170608T01:30:00Z,5.1
20170608T01:45:00Z,6.9
20170608T02:00:00Z,5.1
20170608T02:15:00Z,4
20170608T02:30:00Z,4
20170608T02:45:00Z,2.7
20170608T03:00:00Z,3.3
20170608T03:15:00Z,4.8
20170608T03:30:00Z,3.1
20170608T03:45:00Z,5
20170608T04:00:00Z,5
20170608T04:15:00Z,4.7
20170608T04:30:00Z,5.2
20170608T04:45:00Z,4.8
20170608T05:00:00Z,5.3
20170608T05:15:00Z,4.9
20170608T05:30:00Z,4.1
20170608T05:45:00Z,5.5
20170608T06:00:00Z,4.3
20170608T06:15:00Z,5.1
20170608T06:30:00Z,3.7
20170608T06:45:00Z,4.1
20170608T07:00:00Z,4.1
20170608T07:15:00Z,4.7
20170608T07:30:00Z,3.4
20170608T07:45:00Z,3.1
20170608T08:00:00Z,3.4
20170608T08:15:00Z,3.8
20170608T08:30:00Z,3.6
20170608T08:45:00Z,3.2
20170608T09:00:00Z,5.8
20170608T09:15:00Z,3.2
20170608T09:30:00Z,6.8
20170608T09:45:00Z,4.3
20170608T10:00:00Z,4.6
20170608T10:15:00Z,5
20170608T10:30:00Z,2.1
20170608T10:45:00Z,5.7
20170608T11:00:00Z,2.5
20170608T11:15:00Z,4.2
20170608T11:30:00Z,6.8
20170608T11:45:00Z,4.4
20170608T12:00:00Z,5.3
20170608T12:15:00Z,7.3
20170608T12:30:00Z,8
20170608T12:45:00Z,3.8
20170608T13:00:00Z,6
20170608T13:15:00Z,3.1
20170608T13:30:00Z,3.6
20170608T13:45:00Z,4.3
20170608T14:00:00Z,6.4
20170608T14:15:00Z,7
20170608T14:30:00Z,5.2
20170608T14:45:00Z,7.9
20170608T15:00:00Z,5.9
20170608T15:15:00Z,5.7
20170608T15:30:00Z,4.5
20170608T15:45:00Z,6.5
20170608T16:00:00Z,6.3
20170608T16:15:00Z,4.8
20170608T16:30:00Z,4.9
20170608T16:45:00Z,4.2
20170608T17:00:00Z,8.1
20170608T17:15:00Z,4.7
20170608T17:30:00Z,5.2
20170608T17:45:00Z,5.5
20170608T18:00:00Z,2.9
20170608T18:15:00Z,3.3
20170608T18:30:00Z,2.4
20170608T18:45:00Z,4.1
20170608T19:00:00Z,2.3
20170608T19:15:00Z,3
20170608T19:30:00Z,4.7
20170608T19:45:00Z,3.5
20170608T20:00:00Z,3.4
20170608T20:15:00Z,2.4
20170608T20:30:00Z,1.8
20170608T20:45:00Z,2.3
20170608T21:00:00Z,2.7
20170608T21:15:00Z,1.9
20170608T21:30:00Z,2.7
20170608T21:45:00Z,3
20170608T22:00:00Z,2.5
20170608T22:15:00Z,2.3
20170608T22:30:00Z,3.2
20170608T22:45:00Z,3.5
20170608T23:00:00Z,2.8
20170608T23:15:00Z,2.8
20170608T23:30:00Z,3.7
20170608T23:45:00Z,4.2
20170609T00:00:00Z,3.8
20170609T00:15:00Z,3.8
20170609T00:30:00Z,5.1
20170609T00:45:00Z,6
20170609T01:00:00Z,6
20170609T01:15:00Z,7.4
20170609T01:30:00Z,7.2
20170609T01:45:00Z,6.8
20170609T02:00:00Z,7.4
20170609T02:15:00Z,8.1
20170609T02:30:00Z,10.6
20170609T02:45:00Z,6.5
20170609T03:00:00Z,10.2
20170609T03:15:00Z,9.5
20170609T03:30:00Z,7
20170609T03:45:00Z,10.3
20170609T04:00:00Z,9.3
20170609T04:15:00Z,12.9
20170609T04:30:00Z,8.4
20170609T04:45:00Z,6.4
20170609T05:00:00Z,8.1
20170609T05:15:00Z,7
20170609T05:30:00Z,8.6
20170609T05:45:00Z,6.2
20170609T06:00:00Z,7.1
20170609T06:15:00Z,6.8
20170609T06:30:00Z,5.1
20170609T06:45:00Z,5.2
20170609T07:00:00Z,3.5
20170609T07:15:00Z,4.4
20170609T07:30:00Z,3.2
20170609T07:45:00Z,4.2
20170609T08:00:00Z,3
20170609T08:15:00Z,3.2
20170609T08:30:00Z,4
20170609T08:45:00Z,4.8
20170609T09:00:00Z,5
20170609T09:15:00Z,3.8
20170609T09:30:00Z,7.1
20170609T09:45:00Z,6.6
20170609T10:00:00Z,6.8
20170609T10:15:00Z,7.6
20170609T10:30:00Z,7.7
20170609T10:45:00Z,10.2
20170609T11:00:00Z,10.7
20170609T11:15:00Z,8.7
20170609T11:30:00Z,6.6
20170609T11:45:00Z,9.4
20170609T12:00:00Z,8.9
20170609T12:15:00Z,11.8
20170609T12:30:00Z,12.9
20170609T12:45:00Z,8.5
20170609T13:00:00Z,13.4
20170609T13:15:00Z,18
20170609T13:30:00Z,14.1
20170609T13:45:00Z,12.7
20170609T14:00:00Z,11.5
20170609T14:15:00Z,13.5
20170609T14:30:00Z,13.2
20170609T14:45:00Z,11.7
20170609T15:00:00Z,11
20170609T15:15:00Z,12.6
20170609T15:30:00Z,11.8
20170609T15:45:00Z,11.4
20170609T16:00:00Z,11.1
20170609T16:15:00Z,7.2
20170609T16:30:00Z,9.3
20170609T16:45:00Z,12.1
20170609T17:00:00Z,10.2
20170609T17:15:00Z,8.8
20170609T17:30:00Z,8.6
20170609T17:45:00Z,6.8
20170609T18:00:00Z,5.4
20170609T18:15:00Z,6
20170609T18:30:00Z,5.2
20170609T18:45:00Z,5.5
20170609T19:00:00Z,4
20170609T19:15:00Z,3.1
20170609T19:30:00Z,3
20170609T19:45:00Z,3.4
20170609T20:00:00Z,3
20170609T20:15:00Z,2.1
20170609T20:30:00Z,2.9
20170609T20:45:00Z,3.6
20170609T21:00:00Z,3.4
20170609T21:15:00Z,1.7
20170609T21:30:00Z,2.9
20170609T21:45:00Z,1.1
20170609T22:00:00Z,0.8
20170609T22:15:00Z,2.9
20170609T22:30:00Z,3.3
20170609T22:45:00Z,3.8
20170609T23:00:00Z,4.6
