date,pH,salinity,temp
4/5/17,7.924485988,27.471957,9.780373333
4/5/17,7.913986937,27.471957,9.779496667
4/5/17,7.931098243,27.471957,9.788186667
4/5/17,7.920219093,27.471957,9.807033333
4/5/17,7.925689805,27.471957,9.814016667
4/5/17,7.930627688,27.471957,9.853983333
4/5/17,7.930260133,27.471957,9.880546667
4/5/17,7.931849909,27.471957,9.917766667
4/5/17,7.921946548,27.471957,9.920686667
4/5/17,7.895925118,27.471957,9.912506667
4/5/17,7.860133475,27.471957,9.90501
4/5/17,7.863879743,27.471957,9.895853333
4/5/17,7.834641366,27.471957,9.875973333
4/5/17,7.824446884,27.471957,9.862993333
4/5/17,7.831350664,27.471957,9.853913333
4/5/17,7.817875876,27.471957,9.846403333
4/5/17,7.862231804,27.471957,9.84688
4/5/17,7.89979292,27.471957,9.86055
4/5/17,7.897140873,27.471957,9.869443333
4/5/17,7.867228608,27.471957,9.876316667
4/5/17,7.854254007,27.471957,9.882976667
4/5/17,7.925160898,27.471957,9.926493333
4/5/17,7.924551911,27.471957,9.938273333
4/5/17,7.912030946,27.471957,9.947566667
4/5/17,7.909847673,27.471957,9.979756667
4/5/17,7.942345128,27.471957,9.991746667
4/5/17,7.952539773,27.471957,9.98712
4/5/17,7.958384465,27.471957,10.01997333
4/5/17,7.957147662,27.471957,10.04751667
4/5/17,7.954652308,27.471957,10.0625
4/5/17,7.953400074,27.471957,10.08106667
4/5/17,7.957615657,27.471957,10.09115667
4/5/17,7.959623852,27.471957,10.10681
4/5/17,7.963322214,27.471957,10.25420667
4/5/17,7.973265117,27.471957,10.37175333
4/5/17,7.966518121,27.471957,10.33525
4/5/17,7.967092341,27.471957,10.28193333
4/5/17,7.964314438,27.471957,10.37316
4/5/17,7.964473367,27.471957,10.35194667
4/5/17,7.954571882,27.471957,10.35178333
4/5/17,7.966713755,27.471957,10.34599667
4/5/17,7.968118166,27.471957,10.31824333
4/5/17,7.963613752,27.471957,10.28568
4/5/17,7.959269617,27.471957,10.26165333
4/5/17,7.959630727,27.471957,10.25732
4/5/17,7.937334163,27.471957,10.25926
4/5/17,7.947892379,27.471957,10.23559
4/5/17,7.960368319,27.471957,10.21212667
4/5/17,7.956672167,27.471957,10.17735
4/5/17,7.960426131,27.471957,10.15129
4/5/17,7.964014069,27.471957,10.12905333
4/5/17,7.964906826,27.471957,10.10286333
4/5/17,7.96277267,27.471957,10.07643333
4/5/17,7.964083635,27.471957,10.05298333
4/5/17,7.959353999,27.471957,10.04547333
4/5/17,7.953707981,27.471957,10.03516667
4/5/17,7.961965012,27.471957,10.02235
4/5/17,7.96212682,27.471957,10.01433
4/5/17,7.962468411,27.471957,10.00564667
4/5/17,7.966502673,27.588953,10.00802
4/5/17,7.968853955,27.588953,10.00605333
4/6/17,7.966291772,27.588953,10.00219
4/6/17,7.964845556,27.588953,10.00577667
4/6/17,7.964046536,27.588953,10.02855
4/6/17,7.964598793,27.588953,10.07112333
4/6/17,7.963147651,27.588953,10.10137667
4/6/17,7.96071104,27.588953,10.11571
4/6/17,7.957831805,27.588953,10.11550667
4/6/17,7.955754689,27.588953,10.08283
4/6/17,7.956246784,27.588953,10.06858
4/6/17,7.954942928,27.588953,10.07781667
4/6/17,7.954753726,27.588953,10.06644
4/6/17,7.947008855,27.588953,10.05006333
4/6/17,7.954346973,27.588953,10.04033667
4/6/17,7.951828874,27.588953,10.04984
4/6/17,7.950462835,27.588953,10.05708
4/6/17,7.940549812,27.588953,10.06649
4/6/17,7.950778853,27.588953,10.06718
4/6/17,7.940324493,27.588953,10.05808667
4/6/17,7.945498947,27.588953,10.0544
4/6/17,7.939296268,27.588953,10.05928
4/6/17,7.927201345,27.588953,10.05748
4/6/17,7.928739611,27.588953,10.03755
4/6/17,7.935002117,27.588953,10.02438333
4/6/17,7.940864588,27.588953,10.01968667
4/6/17,7.945401591,27.588953,10.02089
4/6/17,7.93455828,27.588953,10.01658333
4/6/17,7.920061884,27.588953,10.00832667
4/6/17,7.901087923,27.588953,9.968566667
4/6/17,7.90086794,27.588953,9.956233333
4/6/17,7.940064858,27.588953,9.922753333
4/6/17,7.936338085,27.588953,9.894983333
4/6/17,7.932131273,27.588953,9.819563333
4/6/17,7.933901466,27.588953,9.802036667
4/6/17,7.937172772,27.588953,9.804383333
4/6/17,7.937089762,27.588953,9.792076667
4/6/17,7.94056473,27.588953,9.78584
4/6/17,7.950287925,27.588953,9.78584
4/6/17,7.951517911,27.588953,9.78006
4/6/17,7.947279818,27.588953,9.787133333
4/6/17,7.952622772,27.588953,9.800396667
4/6/17,7.955611313,27.588953,9.790653333
4/6/17,7.962127947,27.588953,9.789703333
4/6/17,7.955280266,27.588953,9.782463333
4/6/17,7.954795289,27.588953,9.773193333
4/6/17,7.959267261,27.588953,9.786383333
4/6/17,7.961078279,27.588953,9.81893
4/6/17,7.959016768,27.588953,9.835653333
4/6/17,7.956290878,27.588953,9.84799
4/6/17,7.963383568,27.588953,9.882976667
4/6/17,7.963598508,27.588953,9.93217
4/6/17,7.964090642,27.588953,9.948873333
4/6/17,7.963870236,27.588953,9.994633333
4/6/17,7.961212844,27.588953,10.01778333
4/6/17,7.955343046,27.588953,10.0336
4/6/17,7.953484958,27.588953,10.05443
4/6/17,7.952946849,27.588953,10.08622333
4/6/17,7.950217147,27.588953,10.09712333
4/6/17,7.950266017,27.588953,10.09552
4/6/17,7.953128828,27.588953,10.10676667
4/6/17,7.952964987,27.588953,10.1211
4/6/17,7.953442837,27.588953,10.15853
4/6/17,7.946734006,27.588953,10.18608
4/6/17,7.948163864,27.588953,10.26012333
4/6/17,7.950753081,27.588953,10.36235
4/6/17,7.945677044,27.588953,10.44615
4/6/17,7.936801873,27.588953,10.52503333
4/6/17,7.943075619,27.588953,10.43559
